,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
0,Toyota,2007,Nigerian Used,166418,2400,Petrol,Automatic,"3,120,000",
1,Lexus,,,138024,,,Automatic,"5,834,000",
2,Mercedes-Benz,2008,Nigerian Used,376807,3000,Petrol,Automatic,"3,640,000",
3,Lexus,,,213362,,,Automatic,"3,594,000",
4,Mercedes-Benz,,,106199,,,Automatic,"8,410,000",
5,Mercedes-Benz,,,87660,,,Automatic,"5,554,000",
6,Lexus,,,191411,,,Automatic,"3,706,000",
7,Lexus,,,59092,,,Automatic,"8,410,000",
8,Mercedes-Benz,,,89423,,,Automatic,"6,506,000",
9,Lexus,,,184827,,,Automatic,"4,000,000",
10,Lexus,,,42433,,,Automatic,"8,970,000",
11,Lexus,,,116138,,,Automatic,"3,034,000",
12,Lexus,,,167583,,,Automatic,"3,818,000",
13,Lexus,,,240934,,,Automatic,"3,930,000",
14,Fiat,,,114,,,Automatic,"8,500,000",
15,Fiat,,,54,,,Manual,"12,500,000",
16,Lexus,,,79740,,,Automatic,"5,274,000",
17,Mercedes-Benz,,,338145,,,Automatic,"8,060,000",
18,Lexus,,,174545,,,Automatic,"6,506,000",
19,Land Rover,,,63296,,,Automatic,"6,910,000",
20,Mercedes-Benz,,,93469,,,Automatic,"6,910,000",
21,Mercedes-Benz,,,63085,,,Automatic,"15,690,000",
22,Mercedes-Benz,,,131405,,,Automatic,"5,610,000",
23,Toyota,,,162853,,,Manual,"3,395,000",
24,Lexus,,,169675,,,Automatic,"3,146,000",
25,Lexus,,,147574,,,Automatic,"3,620,000",
26,Lexus,,,70445,,,Automatic,"5,500,000",
27,Foton,,,54470,,,Manual,"4,938,000",
28,Lexus,,,130165,,,Automatic,"3,818,000",
29,Lexus,,,75478,,,Automatic,"3,497,500",
30,Lexus,2008,Foreign Used,301265,3500,Petrol,Automatic,"4,680,000",
31,Mercedes-Benz,,,145317,,,Automatic,"10,650,000",
32,Lexus,2011,Nigerian Used,105546,4600,Petrol,Automatic,"14,040,000",SUV
33,Lexus,,,60730,,,Automatic,"3,706,000",
34,Lexus,,,98594,,,Automatic,"10,650,000",
35,Mercedes-Benz,,,188429,,,Automatic,"6,170,000",
36,Mercedes-Benz,,,128877,,,Automatic,"16,332,500",
37,JAC,,,9972,,,Automatic,"6,730,000",
38,Lexus,,,98226,,,Automatic,"4,378,000",
39,Lexus,,,211824,,,Automatic,"3,610,000",
40,JAC,,,35403,,,Automatic,"7,850,000",
41,Lexus,,,72429,,,Automatic,"3,818,000",
42,Land Rover,,,82891,,,Automatic,"5,386,000",
43,Lexus,2011,Foreign Used,211917,3500,Petrol,Automatic,"6,968,000",
44,Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,"9,360,000",SUV
45,Lexus,,,97215,,,Automatic,"8,500,000",
46,Lexus,,,32096,,,Automatic,"13,450,000",
47,Lexus,,,,,,,"11,000,000",
48,Lexus,,,211824,,,Automatic,"3,610,000",
49,Lexus,,,72429,,,Automatic,"3,818,000",
50,Toyota,2014,Nigerian Used,216924,2500,Petrol,Automatic,"9,360,000",SUV
51,Lexus,,,81936,,,Automatic,"3,370,000",
52,Mercedes-Benz,,,146891,,,Automatic,"4,210,000",
53,Lexus,,,,,,,"9,000,000",
54,Lexus,2016,Nigerian Used,107355,5700,Petrol,Automatic,"42,000,000",SUV
55,Toyota,2009,Nigerian Used,134232,2400,Petrol,Manual,"4,725,000",
56,Mercedes-Benz,,,147895,,,Automatic,"4,490,000",
57,Mercedes-Benz,2007,Foreign Used,209466,4700,Petrol,Automatic,"4,515,000",SUV
58,Mercedes-Benz,,,156155,,,Automatic,"6,730,000",
59,Mercedes-Benz,2017,Nigerian Used,31079,3000,Petrol,Automatic,"41,600,000",
60,Mercedes-Benz,,,34590,,,Automatic,"5,834,000",
61,Mercedes-Benz,,,81907,,,Automatic,"3,146,000",
62,Lexus,2010,Foreign Used,135819,3500,Petrol,Automatic,"8,610,000",SUV
63,Mercedes-Benz,,,95702,,,Manual,"3,706,000",
64,Mercedes-Benz,2015,Nigerian Used,120785,4500,Petrol,Automatic,"18,720,000",SUV
65,Lexus,2006,Nigerian Used,156704,3300,Petrol,Automatic,"3,640,000",SUV
66,Toyota,2013,Foreign Used,143701,1800,Petrol,Automatic,"10,400,000",
67,Lexus,2008,Nigerian Used,162262,4700,Petrol,Automatic,"4,725,000",SUV
68,Land Rover,,,179633,,,Automatic,"5,050,000",
69,Mercedes-Benz,,,59295,,,Automatic,"5,610,000",
70,Land Rover,2011,Nigerian Used,132352,5000,Petrol,Automatic,"5,250,000",SUV
71,Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,"6,825,000",SUV
72,Lexus,2007,Foreign Used,203492,3500,Petrol,Automatic,"4,410,000",
73,Lexus,2014,Foreign Used,72352,3500,Petrol,Automatic,"9,240,000",
74,Mercedes-Benz,,,13123,,,Automatic,"39,210,000",
75,Lexus,,,63086,,,Automatic,"7,850,000",
76,Fiat,,,174,,,Manual,"11,700,000",
77,Lexus,2015,Foreign Used,228013,3500,Petrol,Automatic,"15,600,000",SUV
78,Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,"6,090,000",
79,Toyota,2015,Foreign Used,79277,4000,Petrol,Automatic,"17,680,000",SUV
80,Lexus,2015,Nigerian Used,88745,3500,Petrol,Automatic,"9,450,000",SUV
81,Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,"3,675,000",
82,Toyota,2010,Foreign Used,158017,3500,Petrol,Automatic,"6,825,000",SUV
83,Toyota,2012,Foreign Used,122807,3500,Petrol,Automatic,"8,820,000",
84,Lexus,2004,Foreign Used,250650,3500,Petrol,Automatic,"6,032,000",SUV
85,Mercedes-Benz,2006,Nigerian Used,243975,3500,Petrol,Automatic,"3,360,000",SUV
86,Lexus,2013,Foreign Used,192175,3500,Petrol,Automatic,"9,880,000",
87,Land Rover,2018,Foreign Used,30092,3000,Diesel,Automatic,"36,750,000",SUV
88,Lexus,2014,Foreign Used,77859,3500,Petrol,Automatic,"10,400,000",
89,Mercedes-Benz,2012,Foreign Used,173337,3500,Petrol,Automatic,"11,025,000",SUV
90,Lexus,,,63086,,,Automatic,"7,850,000",
91,Toyota,2015,Foreign Used,88627,3500,Petrol,Automatic,"15,600,000",
92,Lexus,2007,Foreign Used,141782,4600,Petrol,Automatic,"4,368,000",
93,Lexus,2005,Foreign Used,95873,3300,Petrol,Automatic,"5,200,000",SUV
94,Land Rover,2018,Foreign Used,30092,3000,Diesel,Automatic,"36,750,000",SUV
95,Fiat,2000,Foreign Used,286241,24000,Diesel,Manual,"3,675,000",
96,Toyota,2011,Foreign Used,215398,3500,Petrol,Automatic,"4,725,000",
97,Mercedes-Benz,2010,Nigerian Used,112360,4600,Petrol,Automatic,"6,240,000",SUV
98,Toyota,2010,Foreign Used,170599,3500,Petrol,Automatic,"6,825,000",SUV
99,Lexus,2007,Foreign Used,348830,3500,Petrol,Automatic,"4,095,000",
100,Lexus,2010,Foreign Used,344424,3500,Petrol,Automatic,"9,048,000",SUV
101,Lexus,2007,Nigerian Used,170778,3300,Petrol,Automatic,"4,680,000",SUV
102,Toyota,2012,Foreign Used,122807,3500,Petrol,Automatic,"8,820,000",
103,Mercedes-Benz,2014,Nigerian Used,173644,1800,Petrol,Automatic,"6,090,000",
104,Mercedes-Benz,,,59295,,,Automatic,"5,610,000",
105,Mercedes-Benz,2010,Nigerian Used,112360,4600,Petrol,Automatic,"6,240,000",SUV
106,Acura,2007,Foreign Used,233488,3700,Petrol,Automatic,"3,570,000",SUV
107,Toyota,2015,Foreign Used,88627,3500,Petrol,Automatic,"15,600,000",
108,Acura,2011,Nigerian Used,90726,3700,Petrol,Automatic,"4,200,000",SUV
109,Mercedes-Benz,2014,Nigerian Used,152669,4700,Petrol,Automatic,"13,520,000",SUV
110,Toyota,2015,Nigerian Used,47602,3500,Petrol,Automatic,"9,660,000",SUV
111,Toyota,2008,Foreign Used,132566,4700,Petrol,Automatic,"8,320,000",
112,Lexus,2007,Foreign Used,255839,3500,Petrol,Automatic,"5,460,000",
113,Toyota,2013,Nigerian Used,126686,3500,Petrol,Automatic,"7,280,000",SUV
114,Lexus,2010,Foreign Used,344424,3500,Petrol,Automatic,"9,048,000",SUV
115,Lexus,2005,Foreign Used,95873,3300,Petrol,Automatic,"5,200,000",SUV
116,Land Rover,2013,Nigerian Used,76069,4500,Petrol,Automatic,"4,200,000",SUV
117,Toyota,2007,Foreign Used,401813,2400,Petrol,Automatic,"3,885,000",
118,Lexus,2002,Foreign Used,119143,3000,Petrol,Automatic,"3,848,000",SUV
119,Land Rover,2011,Nigerian Used,26628,5000,Petrol,Automatic,"9,360,000",SUV
120,Mercedes-Benz,2006,Nigerian Used,231361,5000,Petrol,Automatic,"3,675,000",
121,Lexus,2007,Foreign Used,175135,3500,Petrol,Automatic,"4,500,000",SUV
122,Tata,2008,Foreign Used,,371000,Diesel,Manual,"17,850,000",
123,Lexus,2010,Nigerian Used,140073,3500,Petrol,Automatic,"4,784,000",
124,Toyota,2004,Foreign Used,294359,2400,Petrol,Automatic,"4,160,000",SUV
125,Saturn,2007,Nigerian Used,,3600,Petrol,Automatic,"3,150,000",SUV
126,Mercedes-Benz,2015,Foreign Used,39662,3500,Petrol,Automatic,"14,560,000",SUV
127,Porsche,2004,Foreign Used,359713,4500,Petrol,Automatic,"4,200,000",SUV
128,Mercedes-Benz,2010,Nigerian Used,96957,3500,Petrol,Automatic,"6,240,000",SUV
129,Toyota,2014,Foreign Used,65308,2000,Petrol,Automatic,"9,450,000",
